;Select one;;
Chile;Pucon;Pucón Airport;ZPC
Chile;Puerto Montt;El Tepual Airport;PMC
Chile;Puerto Natales;Tte. Julio Gallardo Airport;PNT
Chile;Puerto Williams;Guardiamarina Zañartu Airport;WPU
Chile;Punta Arenas;Pdte. Carlos Ibañez del Campo Airport;PUQ
Chile;Rancagua;De La Independencia Airport;QRC
Chile;Santiago;Comodoro Arturo Merino Benítez International Airport;SCL
Chile;Talca;Panguilemo Airport;TLX
Chile;Taltal;Las Breas Airport;TTC
Chile;Temuco;La Araucanía Airport;ZCO
Chile;Temuco;Maquehue Airport;PZS
Chile;Tocopilla;Barriles Airport;TOQ
Chile;Valdivia;Pichoy Airport;ZAL
Chile;Vallenar;Vallenar Airport;VLR
Chile;Victoria;Victoria Airport;ZIC
Chile;Vina del Mar;Viña del mar Airport;KNA
China;Aksu;Aksu Airport;AKU
China;Altay;Altay Air Base;AAT
China;Alxa Left Banner;Alxa Left Banner Bayanhot Airport;AXF
China;Alxa Right Banner;Alxa Right Banner Badanjilin Airport;RHT
China;Ankang;Ankang Wulipu Airport;AKA
China;Anqing;Anqing Tianzhushan Airport;AQG
China;Anshan;Anshan Air Base;AOG
China;Anshun;Anshun Huangguoshu Airport;AVA
China;Arxan;Arxan Yi'ershi Airport;YIE
China;Baicheng;Baicheng Chang'an Airport;DBC
China;Baise;Baise Youjiang Airport;AEB
China;Baishan;Changbaishan Airport;NBS
China;Bangda;Qamdo Bangda Airport;BPX
China;Baoshan;Baoshan Yunduan Airport;BSD
China;Baotou;Baotou Airport;BAV
China;Bayannur;Bayannur Tianjitai Airport;RLK
China;Beihai;Beihai Airport;BHY
China;Beijing;Beijing Capital International Airport;PEK
China;Beijing;Beijing Daxing International Airport;PKX
China;Beijing;Beijing Nanyuan Airport;NAY
China;Bengbu;Bengbu Airport;BFU
China;Bijie;Bijie Feixiong Airport;BFJ
China;Bole;Alashankou Bole (Bortala) airport;BPL
China;Burqin;Kanas Airport;KJI
China;Cangyuan;Cangyuan Washan Airport;CWJ
China;Changcha;Changsha Huanghua International Airport;CSX
China;Changchun;Longjia Airport;CGQ
China;Changde;Changde Airport;CGD
China;Changhai;Changhai Airport;CNI
China;Changzhi;Changzhi Airport;CIH
China;Changzhou;Changzhou Benniu Airport;CZX
China;Chaoyang;Chaoyang Airport;CHG
China;Chengde;Chengde Puning Airport;CDE
China;Chengdu;Chengdu Shuangliu International Airport;CTU
China;Chifeng;Chifeng Airport;CIF
China;Chizhou;Jiuhuashan Airport;JUH
China;Chongqing;Chongqing Jiangbei International Airport;CKG
China;Dali;Dali Airport;DLU
China;Dalian;Zhoushuizi Airport;DLC
China;Dandong;Dandong Airport;DDG
China;Daocheng;Daocheng Yading Airport;DCY
China;Daqing;Saertu Airport;DQA
China;Datong;Datong Airport;DAT
China;Dayong;Dayong Airport;DYG
China;Dazhou;Dachuan Airport;DAX
China;Dongsheng;Ordos Ejin Horo Airport;DSN
China;Dongying;Dongying Shengli Airport;DOY
China;Dunhuang;Dunhuang Airport;DNH
China;Ejin Banner;Ejin Banner-Taolai Airport;EJN
China;Enshi;Enshi Airport;ENH
China;Erenhot;Erenhot Saiwusu International Airport;ERL
China;Foshan;Foshan Shadi Airport;FUO
China;Fuyang;Fuyang Xiguan Airport;FUG
China;Fuyuan;Dongji Aiport;FYJ
China;Fuyun;Fuyun Koktokay Airport;FYN
China;Fuzhou;Fuzhou Changle International Airport;FOC
China;Ganzhou;Ganzhou Airport;KOW
China;Golmud;Golmud Airport;GOQ
China;Golog;Golog Maqin Airport;GMQ
China;Guanghua;Guangzhou MR Air Base;LHK
China;Guangyuan;Guangyuan Airport;GYS
China;Guangzhou;Guangzhou Baiyun International Airport;CAN
China;Guilin;Guilin Liangjiang International Airport;KWL
China;Guiyang;Longdongbao Airport;KWE
China;Guyuan;Guyuan Liupanshan Airport;GYU
China;Haikou;Haikou Meilan International Airport;HAK
China;Hailar;Dongshan Airport;HLD
China;Haixi;Delingha Airport;HXD
China;Hami;Hami Airport;HMI
China;Handan;Handan Airport;HDG
China;Hangzhou;Hangzhou Xiaoshan International Airport;HGH
China;Hanzhong;Hanzhong Chenggu Airport;HZG
China;Harbin;Taiping Airport;HRB
China;Hechi;Hechi Jinchengjiang Airport;HCJ
China;Hefei;Hefei Luogang International Airport;HFE
China;Heihe;Heihe Airport;HEK
China;Hengyang;Hengyang Nanyue Airport;HNY
China;Hohhot;Baita International Airport;HET
China;Holingol;Holingol Huolinhe Airport;HUO
China;Hotan;Hotan Airport;HTN
China;Huai An;Lianshui Airport;HIA
China;Huangshan;Tunxi International Airport;TXN
China;Huangyan;Huangyan Luqiao Airport;HYN
China;Huizhou;Huizhou Airport;HUZ
China;Jiagedaqi District;Jiagedaqi Airport;JGD
China;Jiamusi;Jiamusi Airport;JMU
China;Jian;Jinggangshan Airport;JGS
China;Jiansanjiang;Jiansanjiang Airport;JSJ
China;Jiayuguan;Jiayuguan Airport;JGN
China;Jinan;Yaoqiang Airport;TNA
China;Jinchuan;Jinchuan Airport;JIC
China;Jingdezhen;Jingdezhen Airport;JDZ
China;Jinghonggasa;Xishuangbanna Gasa Airport;JHG
China;Jining;Jining Qufu Airport;JNG
China;Jinzhou;Jinzhou Airport;JNZ
China;Jiujiang;Jiujiang Lushan Airport;JIU
China;Jiuzhaigou;Jiuzhai Huanglong Airport;JZH
China;Jixi;Jixi Xingkaihu Airport;JXA
China;Kaili;Kaili Airport;KJH
China;Kangding;Kangding Airport;KGT
China;Karamay;Karamay Airport;KRY
China;Kashi;Kashgar Airport;KHG
China;Korla;Korla Airport;KRL
China;Kunming;Kunming Changshui International Airport;KMG
China;Kuqa;Kuqa Airport;KCA
China;Lancang Lahu;Lancang Jingmai Airport;JMJ
China;Lanzhou;Lanzhou Zhongchuan Airport;LHW
China;Lhasa;Lhasa Gonggar Airport;LXA
China;Lianyungang;Lianyungang Airport;LYG
China;Libo;Libo Airport;LLB
China;Lijiang;Lijiang Airport;LJG
China;Lincang;Lintsang Airfield;LNJ
China;LINFEN;Linfen Qiaoli Airport;LFQ
China;Linyi;Shubuling Airport;LYI
China;Liping;Liping Airport;HZH
China;Liupanshui;Liupanshui Yuezhao Airport;LPF
China;Liuzhou;Liuzhou Bailian Airport;LZH
China;Longnan;Longnan Chengzhou Airport;LNL
China;Longyan;Longyan Guanzhishan Airport;LCX
China;Luoyang;Luoyang Airport;LYA
China;Luxi;Mangshi Airport;LUM
China;Luzhou;Luzhou Airport;LZO
China;Lvliang;Lüliang Airport;LLV
China;Manzhouli;Manzhouli Xijiao Airport;NZH
China;Meixian;Meixian Airport;MXZ
China;Mengnai;Huatugou Airport;HTT
China;Mianyang;Mianyang Airport;MIG
China;Mohe County;Gu-Lian Airport;OHE
China;Mudanjiang;Mudanjiang Hailang International Airport;MDG
China;Nanchang;Nanchang Changbei International Airport;KHN
China;Nanchong;Nanchong Airport;NAO
China;Nanjing;Nanjing Lukou Airport;NKG
China;Nanning;Nanning Wuxu Airport;NNG
China;Nanyang;Nanyang Jiangying Airport;NNY
China;Ngawa;Hongyuan Airport;AHJ
China;Ninbo;Ningbo Lishe International Airport;NGB
China;Ninglang;Ninglang Luguhu Airport;NLH
China;Nyingchi;Nyingchi Airport;LZY
China;Panzhihua;Bao'anying Airport;PZI
China;Qianjiang;Qianjiang Wulingshan Airport;JIQ
China;Qiemo;Qiemo Yudu Airport;IQM
China;Qingdao;Liuting Airport;TAO
China;Qingyang;Qingyang Airport;IQN
China;Qinhuangdao;Shanhaiguan Airport;SHP
China;Qionghai;Qionghai Bo'ao Airport;BAR
China;Qiqihar;Qiqihar Sanjiazi Airport;NDG
China;Quanzhou;Quanzhou Jinjiang International Airport;JJN
China;Quzhou;Quzhou Airport;JUZ
China;Rizhao;Rizhao Shanzihe Airport;RIZ
China;Rugao;Rugao Air Base;RUG
China;Sanming;Shaxian Airport;SQJ
China;Sanya;Sanya Phoenix International Airport;SYX
China;Shanghai;Shanghai Hongqiao International Airport;SHA
China;Shanghai;Shanghai Pudong International Airport;PVG
China;Shangrao;Shangrao Sanqingshan Airport;SQD
China;Shangri-La;Diqing Airport;DIG
China;Shanshan;Shanshan Airport;SXJ
China;Shantou;Jieyang Chaoshan International Airport;SWA
China;Shaoyang;Shaoyang Wugang Airport;WGN
China;Shennongjia;Shennongjia Hongping Airport;HPG
China;Shenyang;Taoxian Airport;SHE
China;Shenzhen;Shenzhen Bao'an International Airport;SZX
China;Shigatse;Shigatse Air Base;RKZ
China;Shijiazhuang;Shijiazhuang Daguocun International Airport;SJW
China;Shiquanhe;Ngari Gunsa Airport;NGQ
China;Shiyan;Shiyan Wudangshan Airport;WDS
China;Simao;Pu'er Simao Airport;SYM
China;Songyuan;Songyuan Chaganhu Airport;YSQ
China;Suzhou;Suzhou Guangfu Airport;SZV
China;Tacheng;Tacheng Airport;TCG
China;Taiyuan;Taiyuan Wusu Airport;TYN
China;Tengchong;Tengchong Tuofeng Airport;TCZ
China;Tianjin;Tianjin Binhai International Airport;TSN
China;Tianshui;Tianshui Maijishan Airport;THQ
China;Tonghua;Tonghua Sanyuanpu Airport;TNH
China;Tongliao;Tongliao Airport;TGO
China;Tongren;Tongren Fenghuang Airport;TEN
China;Turpan;Turpan Jiaohe Airport;TLQ
China;Ulanhot;Ulanhot Airport;HLH
China;Urumqi;Ürümqi Diwopu International Airport;URC
China;Wanxian;Wanxian Airport;WXN
China;Weifang;Weifang Airport;WEF
China;Weihai;Weihai Airport;WEH
China;Wenzhou;Wenzhou Longwan International Airport;WNZ
China;Wudalianchi;Wudalianchi Dedu Airport;DTU
China;Wuhai;Wuhai Airport;WUA
China;Wuhan;Wuhan Tianhe International Airport;WUH
China;Wuhu;Wuhu Air Base;WHU
China;Wulanchabu;Ulanqab Jining Airport;UCB
China;Wuxi;Sunan Shuofang International Airport;WUX
China;Wuyishan;Nanping Wuyishan Airport;WUS
China;Wuzhou;Wuzhou Changzhoudao Airport;WUZ
China;Xi'an;Xi'an Xianyang International Airport;XIY
China;Xi\'AN;Xi'an Xiguan Airport;SIA
China;Xiahe city;Gannan Xiahe Airport;GXH
China;Xiamen;Xiamen Gaoqi International Airport;XMN
China;Xiangfan;Xiangyang Liuji Airport;XFN
China;Xichang;Xichang Qingshan Airport;XIC
China;Xilinhot;Xilinhot Airport;XIL
China;Xingyi;Xingyi Airport;ACX
China;Xining;Xining Caojiabu Airport;XNN
China;Xinyuan;Xinyuan Nalati Airport;NLT
China;Xinzhou;Xinzhou Wutaishan Airport;WUT
China;Xuzhou;Xuzhou Guanyin Airport;XUZ
China;Yan'an;Yan'an Ershilipu Airport;ENY
China;Yancheng;Yancheng Airport;YNZ
China;Yangzhou;Yangzhou Taizhou Airport;YTY
China;Yanji;Yanji Chaoyangchuan Airport;YNJ
China;Yantai;Yantai Laishan Airport;YNT
China;Yarkant;Yeerqiang Airport;QSZ
China;Yibin;Yibin Caiba Airport;YBP
China;Yichang;Yichang Sanxia Airport;YIH
China;Yichun;Yichun Mingyueshan Airport;YIC
China;Yinchun;Lindu Airport;LDS
China;Yingkou;Yingkou Lanqi Airport;YKH
China;Yining;Yining Airport;YIN
China;Yiwu;Yiwu Airport;YIW
China;Yongzhou;Lingling Airport;LLF
China;Yuanmou;Yuanmou Air Base;YUA
China;Yulin;Yulin Yuyang Airport;UYN
China;Yuncheng;Yuncheng Guangong Airport;YCU
China;Yushu;Yushu Batang Airport;YUS
China;Zhalantun;Chengjisihan Airport;NZL
China;Zhangjiakou;Zhangjiakou Ningyuan Airport;ZQZ
China;Zhangye;Zhangye Ganzhou Airport;YZY
China;Zhanjiang;Zhanjiang Airport;ZHA
China;Zhaotong;Zhaotong Airport;ZAT
China;Zhengzhou;Zhengzhou Xinzheng International Airport;CGO
China;Zhijiang;Zhijiang Airport;HJJ
China;Zhongwei;Zhongwei Shapotou Airport;ZHY
China;Zhoushan;Zhoushan Airport;HSN
China;Zhuhai;Zhuhai Jinwan Airport;ZUH
China;Zunyi;Zunyi Maotai Airport;WMT
China;Zunyi;Zunyi Xinzhou Airport;ZYI
China;Xingcheng;Xingcheng Air Base;XEN
Christmas Island;Christmas Island;Christmas Island Airport;XCH
Cocos (Keeling) Islands;Cocos Keeling Island;Cocos (Keeling) Islands Airport;CCK
Colombia;Acandi;Alcides Fernández Airport;ACD
Colombia;Apiay;Gomez Nino Apiay Air Base;API
Colombia;Araracuara;Araracuara Airport;ACR
Colombia;Arauca;Santiago Perez Airport;AUC
Colombia;Armenia;El Eden Airport;AXM
Colombia;Bahia Solano;José Celestino Mutis Airport;BSC
Colombia;Barrancabermeja;Yariguíes Airport;EJA
Colombia;Barranquilla;Ernesto Cortissoz International Airport;BAQ
Colombia;Bogota;El Dorado International Airport;BOG
Colombia;Bucaramanga;Palonegro Airport;BGA
Colombia;Buenaventura;Gerardo Tobar López Airport;BUN
Colombia;Cali;Alfonso Bonilla Aragon International Airport;CLO
Colombia;Capurgana;Capurganá Airport;CPB
Colombia;Carepa;Antonio Roldan Betancourt Airport;APO
Colombia;Cartagena;Rafael Nuñez International Airport;CTG
Colombia;Cartago;Santa Ana Airport;CRC
Colombia;Caucasia;Juan H White Airport;CAQ
Colombia;Condoto;Mandinga Airport;COG
Colombia;Corozal;Las Brujas Airport;CZU
Colombia;Coveñas;Coveñas Airport;CVE
Colombia;Cucuta;Camilo Daza International Airport;CUC
Colombia;El Bagre;El Bagre Airport;EBG
Colombia;El Banco;Las Flores Airport;ELB
Colombia;Florencia;Gustavo Artunduaga Paredes Airport;FLA
Colombia;Girardot;Santiago Vila Airport;GIR
Colombia;Guapi;Juan Casiano Airport;GPI
Colombia;Ibague;Perales Airport;IBE
Colombia;Ipiales;San Luis Airport;IPI
Colombia;La Dorada;German Olano Air Base;PAL
Colombia;La Mina;Jorge Isaac Airport;MCJ
Colombia;La Pedrera;La Pedrera Airport;LPD
Colombia;Leticia;Alfredo Vásquez Cobo International Airport;LET
Colombia;Magangue;Baracoa Airport;MGN
Colombia;Manizales;La Nubia Airport;MZL
Colombia;Mariquita;Mariquita Airport;MQU
Colombia;Medellin;Enrique Olaya Herrera Airport;EOH
Colombia;Mitu;Fabio Alberto Leon Bentley Airport;MVP
Colombia;Monteria;Los Garzones Airport;MTR
Colombia;Neiva;Benito Salas Airport;NVA
Colombia;Nuquí;Reyes Murillo Airport;NQU
Colombia;Ocana;Aguas Claras Airport;OCV
Colombia;Otu;Otu Airport;OTU
Colombia;Pasto;Antonio Narino Airport;PSO
Colombia;Paz De Ariporo;Paz De Ariporo Airport;PZA
Colombia;Pereira;Matecaña International Airport;PEI
Colombia;Pitalito;Pitalito Airport;PTX
Colombia;Popayan;Guillermo León Valencia Airport;PPN
Colombia;Providencia;El Embrujo Airport;PVA
Colombia;Puerto Asis;Tres De Mayo Airport;PUU
Colombia;Puerto Carreno;German Olano Airport;PCR
Colombia;Puerto Inírida;Obando Airport;PDA
Colombia;Puerto Leguízamo;Caucaya Airport;LQM
Colombia;Quibdo;El Caraño Airport;UIB
Colombia;Rio Hacha;Almirante Padilla Airport;RCH
Colombia;Rio Negro;Jose Maria Córdova International Airport;MDE
Colombia;San Andres Island;Gustavo Rojas Pinilla International Airport;ADZ
Colombia;San Jose Del Guaviare;Jorge E. Gonzalez Torres Airport;SJE
Colombia;San Vincente De Caguan;Eduardo Falla Solano Airport;SVI
Colombia;Santa Marta;Simón Bolívar International Airport;SMR
Colombia;Saravena;Los Colonizadores Airport;RVE
Colombia;Tame;Gustavo Vargas Airport;TME
Colombia;Tolu;Golfo de Morrosquillo Airport;TLU
Colombia;Tres Esquinas;Tres Esquinas Air Base;TQS
Colombia;Tulua;Heriberto Gíl Martínez Airport;ULQ
Colombia;Tumaco;La Florida Airport;TCO
Colombia;Valledupar;Alfonso López Pumarejo Airport;VUP
Colombia;Villa Garzon;Villa Garzón Airport;VGZ
Colombia;Villavicencio;Vanguardia Airport;VVC
Colombia;Yopal;El Yopal Airport;EYP
Comoros;Anjouan;Ouani Airport;AJN
Comoros;Moheli;Mohéli Bandar Es Eslam Airport;NWA
Comoros;Moroni;Iconi Airport;YVA
Comoros;Moroni;Prince Said Ibrahim International Airport;HAH
Congo (Brazzaville);Brazzaville;Maya-Maya Airport;BZV
Congo (Brazzaville);Impfondo;Impfondo Airport;ION
Congo (Brazzaville);Loubomo;Ngot Nzoungou Airport;DIS
Congo (Brazzaville);Oyo;Oyo Ollombo Airport;OLL
Congo (Brazzaville);Pointe-noire;Pointe Noire Airport;PNR
Congo (Kinshasa);Bandoundu;Bandundu Airport;FDU
Congo (Kinshasa);Basankusu;Basankusu Airport;BSU
Congo (Kinshasa);Beni;Beni Airport;BNC
Congo (Kinshasa);Boende;Boende Airport;BNB
Congo (Kinshasa);Boma;Boma Airport;BOA
Congo (Kinshasa);Bukavu/kavumu;Bukavu Kavumu Airport;BKY
Congo (Kinshasa);Bumba;Bumbar Airport;BMB
Congo (Kinshasa);Bunia;Bunia Airport;BUX
Congo (Kinshasa);Buta Zega;Buta Zega Airport;BZU
Congo (Kinshasa);Gbadolite;Gbadolite Airport;BDT
Congo (Kinshasa);Gemena;Gemena Airport;GMA
Congo (Kinshasa);Goma;Goma International Airport;GOM
Congo (Kinshasa);Ikela;Ikela Airport;IKL
Congo (Kinshasa);Ilebo;Ilebo Airport;PFR
Congo (Kinshasa);Inongo;Inongo Airport;INO
Congo (Kinshasa);Isiro;Matari Airport;IRP
Congo (Kinshasa);Kabinda;Tunta Airport;KBN
Congo (Kinshasa);Kalemie;Kalemie Airport;FMI
Congo (Kinshasa);Kamina Base;Kamina Base Airport;KMN
Congo (Kinshasa);Kananga;Kananga Airport;KGA
Congo (Kinshasa);Kikwit;Kikwit Airport;KKW
Congo (Kinshasa);Kindu;Kindu Airport;KND
Congo (Kinshasa);Kinshasa;Ndjili International Airport;FIH
Congo (Kinshasa);Kinshasa;Ndolo Airport;NLO
Congo (Kinshasa);Kiri;Basango Mboliasa Airport;KRZ
Congo (Kinshasa);Kisangani;Bangoka International Airport;FKI
Congo (Kinshasa);Kolwezi;Kolwezi Airport;KWZ
Congo (Kinshasa);Kongolo;Kongolo Airport;KOO
Congo (Kinshasa);Kotakoli;Kotakoli Airport;KLI
Congo (Kinshasa);Lisala;Lisala Airport;LIQ
Congo (Kinshasa);Lodja;Lodja Airport;LJA
Congo (Kinshasa);Lubumashi;Lubumbashi International Airport;FBM
Congo (Kinshasa);Matadi;Tshimpi Airport;MAT
Congo (Kinshasa);Mbandaka;Mbandaka Airport;MDK
Congo (Kinshasa);Mbuji-mayi;Mbuji Mayi Airport;MJM
Congo (Kinshasa);Muanda;Muanda Airport;MNB
Congo (Kinshasa);Nioki;Nioki Airport;NIO
Congo (Kinshasa);Ouesso;Ouesso Airport;OUE
Congo (Kinshasa);Owando;Owando Airport;FTX
Congo (Kinshasa);Tshikapa;Tshikapa Airport;TSH
Cook Islands;Aitutaki;Aitutaki Airport;AIT
Cook Islands;Atiu Island;Enua Airport;AIU
Cook Islands;Avarua;Rarotonga International Airport;RAR
Cook Islands;Mangaia Island;Mangaia Island Airport;MGS
Cook Islands;Manihiki Island;Manihiki Island Airport;MHX
Cook Islands;Mauke Island;Mauke Airport;MUK
Cook Islands;Mitiaro Island;Mitiaro Island Airport;MOI
Cook Islands;Penrhyn Island;Tongareva Airport;PYE
Costa Rica;Buenos Aires;Buenos Aires Airport;BAI
Costa Rica;Carrillo;Playa Samara/Carrillo Airport;PLD
Costa Rica;Chacarita;Chacarita Airport;JAP
Costa Rica;Coto 47;Coto 47 Airport;OTR
Costa Rica;Golfito;Golfito Airport;GLF
Costa Rica;Guapiles;Guapiles Airport;GPL
Costa Rica;La Fortuna/San Carlos;Arenal Airport;FON
Costa Rica;Liberia;Daniel Oduber Quiros International Airport;LIR
Costa Rica;Limon;Limon International Airport;LIO
Costa Rica;Los Chiles;Los Chiles Airport;LSL
Costa Rica;Nandayure;Islita Airport;PBP
Costa Rica;Nicoya;Tambor Airport;TMU
Costa Rica;Nosara Beach;Nosara Airport;NOB
Costa Rica;Palmar Sur;Palmar Sur Airport;PMZ
Costa Rica;Pococi;Barra del Colorado Airport;BCL
Costa Rica;Puerto Jimenez;Puerto Jimenez Airport;PJM
Costa Rica;Puntarenas;Drake Bay Airport;DRK
Costa Rica;Quepos;Quepos Managua Airport;XQP
Costa Rica;Roxana;Aerotortuguero Airport;TTQ
Costa Rica;San Jose;Juan Santamaria International Airport;SJO
Costa Rica;San Jose;Tobias Bolanos International Airport;SYQ
Costa Rica;San Vito De Jaba;San Vito De Java Airport;TOO
Costa Rica;Upala;Upala Airport;UPL
Cote d'Ivoire;Abidjan;Port Bouet Airport;ABJ
Cote d'Ivoire;Bouake;Bouaké Airport;BYK
Cote d'Ivoire;Daloa;Daloa Airport;DJO
Cote d'Ivoire;Korhogo;Korhogo Airport;HGO
Cote d'Ivoire;Man;Man Airport;MJC
Cote d'Ivoire;Odienne;Odienne Airport;KEO
Cote d'Ivoire;San Pedro;San Pedro Airport;SPY
Cote d'Ivoire;Yamoussoukro;Yamoussoukro Airport;ASK
Croatia;Brac;Bol Airport;BWK
Croatia;Dubrovnik;Dubrovnik Airport;DBV
Croatia;Mali Losinj;Lošinj Island Airport;LSZ
Croatia;Osijek;Osijek Airport;OSI
Croatia;Pula;Pula Airport;PUY
Croatia;Rijeka;Rijeka Airport;RJK
Croatia;Split;Split Airport;SPU
Croatia;Zadar;Zadar Airport;ZAD
Croatia;Zagreb;Zagreb Airport;ZAG
Cuba;Baracoa Playa;Gustavo Rizo Airport;BCA
Cuba;Baracoa Playa;Playa Baracoa Airport;UPB
Cuba;Bayamo;Carlos Manuel de Cespedes Airport;BYM
Cuba;Camaguey;Ignacio Agramonte International Airport;CMW
Cuba;Cayo Largo del Sur;Vilo Acuña International Airport;CYO
Cuba;Cayo Santa Maria;Las Brujas Airport;BWW
Cuba;Ciego De Avila;Maximo Gomez Airport;AVI
Cuba;Cienfuegos;Jaime Gonzalez Airport;CFG
Cuba;Cunagua;Jardines Del Rey Airport;CCC
Cuba;Guantanamo;Leeward Point Field;NBW
Cuba;Guantanamo;Mariana Grajales Airport;GAO
Cuba;Havana;José Martí International Airport;HAV
Cuba;Holguin;Frank Pais International Airport;HOG
Cuba;Kawama;Kawama Airport;VRO
Cuba;La Coloma;La Coloma Airport;LCL
Cuba;Las Tunas;Hermanos Ameijeiras Airport;VTU
Cuba;Manzanillo;Sierra Maestra Airport;MZO
Cuba;Moa;Orestes Acosta Airport;MOA
Cuba;Nueva Gerona;Rafael Cabrera Airport;GER
Cuba;Pinar Del Rio;San Julian Air Base;SNJ
Cuba;Pinar Del Rio Norte;Pinar Del Rio Airport;QPD
Cuba;San Nicolás;San Nicolas De Bari Airport;QSN
Cuba;Sancti Spiritus;Sancti Spiritus Airport;USS
Cuba;Santa Clara;Abel Santamaria Airport;SNU
Cuba;Santiago De Cuba;Antonio Maceo International Airport;SCU
Cuba;Siguanea;Siguanea Airport;SZJ
Cuba;Trinidad;Alberto Delgado Airport;TND
Cuba;Varadero;Juan Gualberto Gomez International Airport;VRA
Cyprus;Akrotiri;RAF Akrotiri;AKT
Cyprus;Geçitkale;Lefkoniko Airport;GEC
Cyprus;Larnaca;Larnaca International Airport;LCA
Cyprus;Nicosia;Ercan International Airport;ECN
Cyprus;Paphos;Paphos International Airport;PFO
Czech Republic;Brno;Brno-Tuřany Airport;BRQ
Czech Republic;Karlovy Vary;Karlovy Vary International Airport;KLV
Czech Republic;Kunovice;Kunovice Airport;UHE
Czech Republic;Ostrava;Ostrava Leos Janáček Airport;OSR
Czech Republic;Pardubice;Pardubice Airport;PED
Czech Republic;Prague;Václav Havel Airport Prague;PRG
Czech Republic;Prerov;Přerov Air Base;PRV
Czech Republic;Vodochody;Vodochody Airport;VOD
Denmark;Aalborg;Aalborg Airport;AAL
Denmark;Aarhus;Aarhus Airport;AAR
Denmark;Billund;Billund Airport;BLL
Denmark;Copenhagen;Copenhagen Kastrup Airport;CPH
Denmark;Copenhagen;Copenhagen Roskilde Airport;RKE
Denmark;Esbjerg;Esbjerg Airport;EBJ
Denmark;Karup;Karup Airport;KRP
Denmark;Laeso;Læsø Airport;BYR
Denmark;Maribo;Lolland Falster Maribo Airport;MRW
Denmark;Odense;Odense Airport;ODE
Denmark;Ronne;Bornholm Airport;RNN
Denmark;Sindal;Sindal Airport;CNL
Denmark;Skive;Skive Airport;SQW
Denmark;Skrydstrup;Skrydstrup Air Base;SKS
Denmark;Soenderborg;Sønderborg Airport;SGD
Denmark;Stauning;Stauning Airport;STA
Denmark;Thisted;Thisted Airport;TED
Djibouti;Djibouti;Djibouti-Ambouli Airport;JIB
Djibouti;Obock;Obock Airport;OBC
Djibouti;Tadjoura;Tadjoura Airport;TDJ
Dominica;Canefield;Canefield Airport;DCF
Dominica;Dominica;Douglas-Charles Airport;DOM
Dominican Republic;Barahona;Maria Montez International Airport;BRX
Dominican Republic;Cabo Rojo;Cabo Rojo Airport;CBJ
Dominican Republic;Constanza;Constanza - Expedición 14 de Junio National Airport;COZ
Dominican Republic;La Isabela;La Isabela International Airport;JBQ
Dominican Republic;La Romana;Casa De Campo International Airport;LRM
Dominican Republic;Puerto Plata;Gregorio Luperon International Airport;POP
Dominican Republic;Punta Cana;Punta Cana International Airport;PUJ
Dominican Republic;Samana;Samaná El Catey International Airport;AZS
Dominican Republic;Santiago;Cibao International Airport;STI
Dominican Republic;Santo Domingo;Herrera Airport;HEX
Dominican Republic;Santo Domingo;Las Américas International Airport;SDQ
East Timor;Baucau;Cakung Airport;BCH
East Timor;Dili;Presidente Nicolau Lobato International Airport;DIL
East Timor;Suai;Suai Airport;UAI
Ecuador;Ambato;Chachoán Airport;ATF
Ecuador;Coca;Francisco De Orellana Airport;OCC
Ecuador;Cuenca;Mariscal Lamar Airport;CUE
Ecuador;Esmeraldas;General Rivadeneira Airport;ESM
Ecuador;Galapagos;Seymour Airport;GPS
Ecuador;Guayaquil;José Joaquín de Olmedo International Airport;GYE
Ecuador;Isabela;General Villamil Airport;IBB
Ecuador;La Toma (Catamayo);Camilo Ponce Enriquez Airport;LOH
Ecuador;Latacunga;Cotopaxi International Airport;LTX
Ecuador;Macara;Jose Maria Velasco Ibarra Airport;MRR
Ecuador;Macas;Coronel E Carvajal Airport;XMS
Ecuador;Machala;General Manuel Serrano Airport;MCH
Ecuador;Manta;Eloy Alfaro International Airport;MEC
Ecuador;Pastaza;Rio Amazonas Airport;PTZ
Ecuador;Portoviejo;Reales Tamarindos Airport;PVO
Ecuador;Quito;Mariscal Sucre International Airport;UIO
Ecuador;Salinas;General Ulpiano Paez Airport;SNC
Ecuador;San Cristóbal;San Cristóbal Airport;SCY
Ecuador;Santa Rosa;Santa Rosa International Airport;ETR
Ecuador;Tarapoa;Tarapoa Airport;TPC
Ecuador;Tena;Jumandy Airport;TNW
Ecuador;Tiputini;Tiputini Airport;TPN
Ecuador;Tulcan;Teniente Coronel Luis a Mantilla Airport;TUA
Egypt;Abu Simbel;Abu Simbel Airport;ABS
Egypt;Alexandria;Borg El Arab International Airport;HBE
Egypt;Alexandria;El Nouzha Airport;ALY
Egypt;Aswan;Aswan International Airport;ASW
Egypt;Asyut;Assiut International Airport;ATZ
Egypt;Cairo;Cairo International Airport;CAI
Egypt;Cairo;Cairo West Airport;CWE
Egypt;Dabaa City;El Alamein International Airport;DBB
Egypt;El Arish;El Arish International Airport;AAC
Egypt;El Gorah;El Gora Airport;EGH
Egypt;El-tor;El Tor Airport;ELT
Egypt;Hurghada;Hurghada International Airport;HRG
Egypt;Luxor;Luxor International Airport;LXR
Egypt;Marsa Alam;Marsa Alam International Airport;RMF
Egypt;Mersa-matruh;Mersa Matruh Airport;MUH
